"","par_date","i1","i2"
"1","20190315",91.6870536822644,-1.59961796357915
"2","20190316",92.6989119241719,2.61474400847798
"3","20190317",90.7416548810927,-1.16526547887535
"4","20190318",92.5961391718759,4.16446029871835
"5","20190319",93.6548913944691,2.42311026012779
"6","20190320",93.0133882775863,-0.392897160185306
"7","20190321",93.7917198459772,1.14646282561657
"8","20190322",90.4670799280793,-3.56877795542159
"9","20190323",88.3604552728156,0.384962544540676
"10","20190324",95.666194613351,11.2846451411092
"11","20190325",90.0317463217455,-5.36509819509284
"12","20190326",92.6672818761205,2.18749178326639
"13","20190327",92.1519281698174,1.17871281496736
"14","20190328",91.4706266833695,0.138508459947618
"15","20190329",94.8626951469592,4.82463551609894
"16","20190330",93.3016949456282,-0.878808683577254
"17","20190331",94.2461388676167,-0.375260113083111
"18","20190401",92.9665298429206,-1.00692015228338
"19","20190402",91.5309981591051,-1.83410955209344
"20","20190403",92.9511404811138,3.16226440009041
"21","20190404",91.1999036381928,-2.11783473076359
"22","20190405",91.248775793729,0.0693714066005558
"23","20190406",91.112266369941,2.52940274010197
"24","20190407",95.9224737982841,5.79785715554388
"25","20190408",85.2146766792731,-12.0875999962855
"26","20190409",95.9770364502394,6.18239895822134
"27","20190410",92.5404523817522,5.35371184853522
"28","20190411",91.3465438134226,-0.736012449029649
"29","20190412",88.6012039780728,-2.00212106548729
"30","20190413",91.566341970634,3.45924270219307
"31","20190414",91.7503164234249,0.296787079067344
"32","20190415",89.208792200538,-2.21139256833156
"33","20190416",88.376751442914,1.62684707291969
"34","20190417",86.3213159573417,-2.36282088879411
"35","20190418",84.2177812044345,-2.82847121450605
"36","20190419",92.6971633501744,3.220944545593
"37","20190420",91.6769540591746,-0.680336190063116
"38","20190421",90.4194390648198,-0.68828602468476
"39","20190422",86.5953172799076,-5.64146055359459
"40","20190423",89.6853469965283,3.72351080369422
"41","20190424",95.140451958315,-0.427506603148269
"42","20190425",92.2818895572905,5.53769652146387
"43","20190426",86.094591472548,1.83108064532429
"44","20190427",91.4840201318476,5.31023506405894
"45","20190428",89.2873669597182,0.596884728388047
"46","20190429",91.2519322641435,2.94214422327623
"47","20190430",84.0952522020535,-7.96366302530027
"48","20190501",89.2929733033707,0.554696905915016
"49","20190502",85.3943856387125,5.58049235580534
"50","20190503",84.528428909297,0.021074832815863
"51","20190504",86.1467209315454,2.32442152897973
"52","20190505",81.4403661464288,-1.9704245778263
"53","20190506",82.771251505971,-0.160073173653576
"54","20190507",82.9991854250727,-1.98540927540274
"55","20190508",86.7520856235908,3.6698914364857
"56","20190509",85.6932895075844,-0.250646998292809
"57","20190510",79.2832519686378,-4.4593715384315
"58","20190511",39.9522918184187,-48.09669242973
"59","20190512",75.6147965789093,35.2454785785718
"60","20190513",70.8298100292925,9.1120860266016
"61","20190514",78.9638975896568,-1.82855006142568
"62","20190515",76.5503204639848,-7.32421716586545
"63","20190516",73.6100844124642,3.48803068808584
"64","20190517",76.1569799297623,0.760895918769693
"65","20190518",86.0107865943084,13.2744566041739
"66","20190519",89.5929465360619,13.3444802475784
"67","20190520",79.3789988923449,-10.9945567994777
"68","20190521",85.1675264355001,3.04303882010123
"69","20190522",83.0640254784688,5.23083777709375
"70","20190523",85.1419646880713,10.7295311783278
"71","20190524",86.0157956948438,1.52861260856352
"72","20190525",87.0228277581281,0.424582387730443
"73","20190526",88.1101641651632,2.02107790615373
"74","20190527",87.924919508669,-0.0722643720636477
"75","20190528",84.2045284886364,-4.28464225249339
"76","20190529",87.404905165151,4.35104713328361
